playername,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,cmpsp,cmpmp,cmplp,crs,ground,low,high,left,right,head,off,int,block,sca,passlive,drib,gca,gcapasslive,gcadrib,tkl,tklw,press,pressp,touches,succp,targ,rec,recp,miscon,subs,fls,recov,aerialwonp
Jarrod Bowen,14400000,2019-2020,22,24th,29,29,"2,610",16,6,101,40,39.6,0.16,,,,,,97,,,,,,,,,Matches,,,,,,,,16,,,,,,,,,0,26,,
Jarrod Bowen,22500000,2019-2020,22,16th,13,11,917,1,4,24,7,29.2,0.04,188,68.1,26.9,84.0,50.6,59,157,38,81,204,59,9,0,2,Matches,27,11,3,5,3,0,19,13,174,23.0,421,48.5,352,259,73.6,17,2,4,68,14.8
Dominic Calvert-Lewin,,2014-2015,17,5th,2,0,57,0,0,,0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,1,,
Dominic Calvert-Lewin,90000,2015-2016,18,1st,20,7,906,5,0,,11,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,13,14,,
Dominic Calvert-Lewin,900000,2015-2016,18,11th,9,3,302,0,0,,2,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,9,,
Dominic Calvert-Lewin,3150000,2016-2017,19,1st,0,0,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Dominic Calvert-Lewin,7200000,2016-2017,19,1st,9,9,748,4,1,7,2,28.6,0.14,,,,,,0,,,,,,,,,Matches,,,,,,,,4,,,,,,,,,0,4,,
Dominic Calvert-Lewin,7200000,2016-2017,19,7th,11,5,347,1,0,43,16,37.2,0.09,315,61.0,39.7,66.5,44.8,19,266,100,150,49,269,100,4,10,Matches,42,30,1,11,6,1,15,7,314,26.1,805,55.4,1083,591,54.6,81,6,42,93,45.2
Dominic Calvert-Lewin,13500000,2017-2018,20,8th,32,18,"1,882",4,6,55,17,30.9,0.11,283,64.2,46.7,66.9,57.8,6,252,98,91,52,275,45,1,16,Matches,33,17,6,5,2,0,13,8,392,27.8,736,54.3,1128,554,49.1,63,14,34,86,42.2
Dominic Calvert-Lewin,18000000,2018-2019,21,8th,35,19,"1,784",6,2,83,37,44.6,0.16,390,66.0,34.2,68.8,64.0,19,269,179,143,59,322,60,3,7,Matches,53,33,2,3,2,0,15,11,470,27.4,972,44.1,1399,742,53.0,109,16,57,102,46.6
Andy Carroll,270000,2006-2007,17,13th,4,0,87,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,
Andy Carroll,360000,2007-2008,18,15th,11,7,611,1,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,,
Andy Carroll,360000,2007-2008,18,12th,4,1,141,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,
Andy Carroll,720000,2008-2009,19,18th,14,5,533,3,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,,
Andy Carroll,2250000,2009-2010,20,1st,39,33,"2,850",17,8,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,68,,
Andy Carroll,18000000,2010-2011,21,12th,19,18,"1,625",11,4,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,,
Andy Carroll,18000000,2010-2011,21,6th,7,5,445,2,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,
Andy Carroll,13950000,2011-2012,22,8th,35,21,"2,074",4,2,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,,
Andy Carroll,9900000,2012-2013,23,7th,2,0,20,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,
Andy Carroll,14400000,2012-2013,23,10th,24,22,"1,933",7,4,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,,
Andy Carroll,9000000,2013-2014,24,13th,15,12,"1,091",2,4,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,,
Andy Carroll,9000000,2014-2015,25,12th,14,12,"1,024",5,1,,12,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,27,,
Andy Carroll,9000000,2015-2016,26,7th,27,13,"1,440",9,2,,25,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,14,38,,
Andy Carroll,9000000,2016-2017,27,11th,18,15,"1,311",7,1,39,14,35.9,0.18,,,,,,10,,,,,,,,,Matches,,,,,,,,3,,,,,,,,,3,25,,
Andy Carroll,9000000,2017-2018,28,13th,16,7,751,3,0,28,7,25.0,0.11,144,59.3,43.5,63.9,51.9,10,81,51,111,83,52,58,1,5,Matches,16,9,2,1,0,0,4,1,84,20.2,337,80.0,407,249,61.2,14,9,28,38,60.0
Andy Carroll,7200000,2018-2019,29,10th,12,3,461,0,0,14,6,42.9,0.00,86,65.6,55.6,69.1,56.0,2,69,34,28,54,36,16,0,2,Matches,12,8,1,0,0,0,2,1,91,12.1,197,42.9,273,143,52.4,14,9,11,25,51.7
Andy Carroll,3600000,2019-2020,30,13th,19,4,632,0,4,15,3,20.0,0.00,134,64.7,46.7,69.3,54.8,5,78,63,66,81,45,13,1,2,Matches,20,19,0,7,7,0,7,1,82,31.7,320,62.5,403,232,57.6,28,15,17,43,56.1
Aaron Connolly,2250000,2017-2018,17,3rd,14,10,985,8,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,,,
Aaron Connolly,2250000,2018-2019,18,1st,2,0,26,0,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Aaron Connolly,4050000,2018-2019,18,3rd,15,14,"1,192",10,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Aaron Connolly,3600000,2019-2020,19,15th,24,14,"1,258",3,1,38,13,34.2,0.08,126,77.3,57.1,80.7,78.3,9,90,52,21,27,107,13,0,4,Matches,22,7,3,5,1,1,12,8,234,29.5,349,37.5,535,235,43.9,42,10,16,54,22.6
Aaron Connolly,3600000,2019-2020,19,3rd,2,2,150,3,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Patrick Cutrone,450000,2016-2017,18,6th,1,0,6,0,0,1,0,0.0,0.00,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,1,1,,
Patrick Cutrone,20700000,2017-2018,19,6th,28,17,"1,503",10,1,44,21,47.7,0.23,233,75.4,31.6,80.9,53.6,14,236,43,30,51,236,9,1,7,Matches,26,20,0,6,3,0,16,12,413,18.6,500,69.2,666,370,55.6,50,11,26,54,25.5
Patrick Cutrone,25200000,2018-2019,20,5th,34,12,"1,457",3,2,36,14,38.9,0.08,241,71.9,14.3,78.5,50.0,19,237,53,45,48,255,15,0,8,Matches,32,30,1,2,2,0,13,10,377,24.9,543,35.5,748,389,52.0,46,22,27,65,21.7
Patrick Cutrone,18000000,2019-2020,21,12th,17,8,747,4,1,19,10,52.6,0.21,102,69.9,30.8,79.6,40.0,3,93,37,16,23,100,11,0,4,Matches,16,10,0,3,2,0,8,6,205,22.0,243,50.0,367,177,48.2,30,9,8,35,21.4
Patrick Cutrone,15300000,2019-2020,21,7th,12,3,297,2,0,11,3,27.3,0.18,38,67.9,100.0,73.5,0.0,6,33,11,12,9,40,1,0,1,Matches,2,1,0,0,0,0,6,4,95,27.4,105,55.6,173,60,34.7,10,9,5,25,19.2
Keinan Davis,,2015-2016,17,20th,0,0,,,,0,0,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,0,0,,
Keinan Davis,225000,2016-2017,18,13th,6,0,64,0,0,40,12,30.0,0.05,,,,,,10,,,,,,,,,Matches,,,,,,,,5,,,,,,,,,6,43,,
Keinan Davis,1800000,2017-2018,19,4th,28,17,"1,497",2,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,11,,,
Keinan Davis,1800000,2017-2018,19,2nd,1,1,56,0,0,6,3,50.0,0.00,,,,,,1,,,,,,,,,Matches,,,,,,,,1,,,,,,,,,0,5,,
Keinan Davis,1800000,2018-2019,20,5th,5,0,100,0,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,,,
Keinan Davis,2250000,2018-2019,20,5th,2,2,90,1,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Keinan Davis,2070000,2019-2020,21,7th,1,1,26,0,0,16,5,31.3,0.00,107,75.9,45.5,79.7,66.7,1,101,22,18,98,20,6,0,1,Matches,20,11,1,3,1,0,2,2,88,21.6,224,60.0,311,179,57.6,19,0,12,27,37.1
Troy Deeney,,2006-2007,18,1st,1,0,7,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,
Troy Deeney,,2007-2008,19,12th,35,26,"1,577",1,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,21,,
Troy Deeney,,2008-2009,20,13th,45,37,"3,284",12,7,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,57,,
Troy Deeney,450000,2009-2010,21,10th,42,42,"3,612",14,6,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,
Troy Deeney,450000,2010-2011,22,14th,36,17,"1,888",3,3,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,32,,
Troy Deeney,675000,2011-2012,23,11th,43,28,"2,729",11,5,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,55,,
