playername,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,cmpsp,cmpmp,cmplp,crs,ground,low,high,left,right,head,off,int,block,sca,passlive,drib,gca,gcapasslive,gcadrib,tkl,tklw,press,pressp,touches,succp,targ,rec,recp,miscon,subs,fls,recov,aerialwonp
Federico Chiesa,,2019-2020,21,10th,33,30,"2,548",11,5,37.1,3.71,0.10,1,572,73.1,41.2,79.6,59.1,49,497,173,112,159,542,18,4,16,Matches,97,61,12,12,7,1,49,30,633,23.1,1164,64.4,1211,822,67.9,53,3,50,169,14.3
Ignacio Pussetto,,2014,18,13th,3,0,67,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Ignacio Pussetto,,2015,19,29th,19,17,"1,501",2,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Ignacio Pussetto,,2016,20,15th,11,7,676,2,1,37.5,2.13,0.13,0,,,,,,24,,,,,,,,,Matches,,,,,,,,12,,,,,,,,,4,13,,
Ignacio Pussetto,,2016-2017,20,25th,15,12,"1,033",3,1,46.4,2.44,0.11,0,,,,,,24,,,,,,,,,Matches,,,,,,,,19,,,,,,,,,3,26,,
Ignacio Pussetto,,2017-2018,21,4th,27,27,"2,374",9,5,42.6,2.05,0.15,1,,,,,,54,,,,,,,,,Matches,,,,,,,,41,,,,,,,,,0,47,,
Ignacio Pussetto,,2018-2019,22,12th,35,24,"2,178",4,4,29.3,2.40,0.07,0,503,69.9,20.5,76.7,53.3,31,428,153,139,46,504,55,1,10,Matches,66,41,11,9,5,1,65,51,554,21.5,1146,51.5,1146,732,63.9,72,11,53,147,43.7
Ignacio Pussetto,,2019-2020,23,15th,12,2,341,1,0,40.0,2.64,0.10,0,87,68.0,30.0,71.4,70.4,12,66,28,34,12,90,8,0,4,Matches,19,15,2,0,0,0,6,3,105,21.0,198,60.0,186,128,68.8,10,10,9,32,42.1
Ignacio Pussetto,,2019-2020,23,19th,7,0,74,0,0,,0.00,,0,18,58.1,100.0,68.4,36.4,4,9,9,13,4,18,5,0,1,Matches,0,0,0,0,0,0,6,3,38,21.1,58,20.0,29,22,75.9,2,7,3,14,25.0
Alexis Saelemaekers,,2017-2018,18,3rd,11,7,610,0,1,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,4,13,,
Alexis Saelemaekers,,2018-2019,19,6th,30,22,"1,978",0,6,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,,,
Alexis Saelemaekers,,2019-2020,20,8th,16,14,"1,163",2,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Alexis Saelemaekers,,2019-2020,20,6th,13,6,684,1,0,22.2,1.18,0.11,0,280,82.1,52.4,88.3,53.8,24,241,61,39,54,253,8,0,6,Matches,26,23,0,2,1,0,14,6,130,26.2,420,50.0,335,280,83.6,12,7,14,59,18.8
Riccardo Sottil,,2017-2018,18,8th,0,0,,,,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Riccardo Sottil,,2018-2019,19,4th,10,7,580,1,1,0.0,4.50,0.00,0,7,77.8,,77.8,,1,6,3,0,0,9,0,0,0,Matches,1,1,0,0,0,0,1,1,5,20.0,13,0.0,11,10,90.9,1,3,0,2,
Riccardo Sottil,,2018-2019,19,16th,2,0,20,0,0,57.1,2.58,0.00,0,150,77.3,36.4,83.3,59.3,22,133,40,21,43,138,1,0,2,Matches,18,11,2,3,2,0,5,3,72,16.7,281,82.4,286,222,77.6,14,2,11,29,50.0
Kevin Agudelo,,2018,19,11th,15,10,712,0,0,0.0,0.88,0.00,0,,,,,,12,,,,,,,,,Matches,,,,,,,,14,,,,,,,,,5,16,,
Kevin Agudelo,,2019,20,20th,18,16,"1,407",2,1,40.9,1.41,0.09,0,,,,,,20,,,,,,,,,Matches,,,,,,,,36,,,,,,,,,2,52,,
Kevin Agudelo,,2019-2020,20,10th,2,0,10,0,0,,0.00,,0,5,62.5,,57.1,100.0,0,7,0,1,6,1,1,0,0,Matches,0,0,0,0,0,0,1,1,8,37.5,9,,9,6,66.7,0,2,0,2,0.0
Kevin Agudelo,,2019-2020,20,17th,10,7,666,1,1,20.0,1.35,0.10,0,245,81.4,40.9,87.8,69.4,11,214,51,36,241,38,14,0,5,Matches,27,21,5,1,1,0,25,18,217,21.2,402,63.6,348,285,81.9,12,3,20,55,40.0
Emmanuel Agyemang-Badu,,2009-2010,18,15th,5,0,69,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,5,,
Emmanuel Agyemang-Badu,,2010-2011,19,4th,8,2,206,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,6,,
Emmanuel Agyemang-Badu,,2011-2012,20,3rd,10,6,612,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,16,,
Emmanuel Agyemang-Badu,,2012-2013,21,5th,25,14,"1,535",0,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,11,34,,
Emmanuel Agyemang-Badu,,2013-2014,22,13th,29,20,"1,864",5,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,37,,
Emmanuel Agyemang-Badu,,2014-2015,23,16th,27,20,"1,874",1,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,23,,
Emmanuel Agyemang-Badu,,2015-2016,24,17th,33,30,"2,661",4,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,33,,
Emmanuel Agyemang-Badu,,2016-2017,25,13th,29,20,"2,033",0,3,23.8,0.93,0.00,0,,,,,,37,,,,,,,,,Matches,,,,,,,,21,,,,,,,,,9,27,,
Emmanuel Agyemang-Badu,,2017-2018,26,13th,18,17,"1,417",1,1,40.0,0.95,0.07,0,,,,,,15,,,,,,,,,Matches,,,,,,,,11,,,,,,,,,1,25,,
Emmanuel Agyemang-Badu,,2018-2019,27,12th,4,2,161,0,0,0.0,1.68,0.00,0,26,83.9,50.0,82.6,100.0,2,19,8,4,2,22,3,0,1,Matches,2,2,0,0,0,0,5,4,34,17.6,56,0.0,45,34,75.6,3,2,2,10,44.4
Emmanuel Agyemang-Badu,,2019-2020,28,9th,10,2,230,0,0,,0.00,,0,91,87.5,100.0,91.9,75.9,1,81,11,12,6,91,3,0,2,Matches,3,3,0,0,0,0,2,1,30,13.3,129,0.0,116,90,77.6,4,8,7,22,29.4
Álex Berenguer,,2014-2015,19,18th,13,4,464,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,,,
Álex Berenguer,,2015-2016,20,6th,38,19,"1,839",3,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,19,49,,
Álex Berenguer,,2016-2017,21,19th,29,22,"2,176",1,6,43.8,0.66,0.06,0,,,,,,77,,,,,,,,,Matches,,,,,,,,52,,,,,,,,,7,28,,
Álex Berenguer,,2017-2018,22,9th,22,11,"1,043",1,3,56.3,1.38,0.06,0,336,71.9,42.4,81.8,46.8,44,298,76,93,77,360,16,2,6,Matches,38,24,2,4,3,0,22,12,294,27.9,660,60.3,550,448,81.5,38,11,22,86,39.1
Álex Berenguer,,2018-2019,23,7th,31,15,"1,486",2,3,33.3,1.27,0.10,0,529,70.3,38.9,80.3,51.6,87,428,142,183,106,526,38,2,15,Matches,68,40,7,6,3,0,37,27,324,25.0,998,57.8,846,676,79.9,41,16,29,104,24.4
Álex Berenguer,,2019-2020,24,16th,28,20,"1,733",6,2,31.6,1.97,0.16,0,550,74.0,43.1,85.2,51.1,65,466,134,143,83,591,24,0,15,Matches,72,37,15,9,4,4,22,12,425,22.4,1015,69.0,997,719,72.1,34,8,25,117,29.3
Valon Berisha,,2010,16,9th,12,4,495,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Valon Berisha,,2011,17,11th,28,26,"2,396",3,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Valon Berisha,,2012,18,5th,16,16,"1,420",0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Valon Berisha,,2012-2013,19,2nd,30,29,"2,364",6,11,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Valon Berisha,,2013-2014,20,1st,32,16,"1,567",5,5,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,16,,,
Valon Berisha,,2014-2015,21,1st,14,8,703,4,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,,,
Valon Berisha,,2015-2016,22,1st,33,32,"2,771",5,8,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,50,,
Valon Berisha,,2016-2017,23,1st,34,33,"2,814",7,8,37.5,2.05,0.09,1,,,,,,67,,,,,,,,,Matches,,,,,,,,63,,,,,,,,,1,39,,
Valon Berisha,,2017-2018,24,1st,24,24,"1,972",4,4,41.9,1.96,0.02,3,,,,,,133,,,,,,,,,Matches,,,,,,,,45,,,,,,,,,0,31,,
Valon Berisha,,2018-2019,25,8th,8,1,198,0,0,0.0,0.45,0.00,0,123,80.9,50.0,86.6,52.6,9,117,15,20,12,127,12,1,3,Matches,7,4,0,1,0,0,8,5,74,18.9,179,100.0,145,125,86.2,1,7,3,26,0.0
Valon Berisha,,2019-2020,26,4th,3,0,33,0,0,,0.00,,0,5,71.4,,80.0,50.0,0,6,0,1,1,5,1,0,0,Matches,0,0,0,0,0,0,1,0,14,14.3,11,,6,6,100.0,1,3,1,2,0.0
Valon Berisha,,2019-2020,26,17th,13,12,941,0,1,25.0,1.15,0.00,0,331,82.5,46.7,86.9,75.7,14,236,105,60,49,318,19,4,9,Matches,19,12,0,1,1,0,21,15,256,35.5,493,40.0,448,353,78.8,15,1,12,61,30.0
Federico Bernardeschi,,2013-2014,19,6th,38,28,"2,442",12,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Federico Bernardeschi,,2014-2015,20,4th,7,1,217,1,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,4,,
Federico Bernardeschi,,2015-2016,21,5th,33,25,"2,272",2,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,33,,
Federico Bernardeschi,,2016-2017,22,8th,32,27,"2,292",11,4,42.0,2.71,0.12,3,,,,,,110,,,,,,,,,Matches,,,,,,,,11,,,,,,,,,5,34,,
Federico Bernardeschi,,2017-2018,23,1st,22,7,847,4,3,35.7,2.98,0.14,0,307,80.8,41.2,88.8,67.6,24,262,51,67,346,22,7,2,8,Matches,33,25,3,9,6,1,14,10,134,22.4,532,69.7,467,397,85.0,18,15,13,66,33.3
Federico Bernardeschi,,2018-2019,24,1st,28,14,"1,473",2,3,35.3,3.12,0.04,0,548,76.9,20.6,88.4,59.1,82,491,78,144,631,50,14,3,11,Matches,70,40,7,5,2,0,15,11,332,20.8,908,56.9,827,659,79.7,23,14,20,119,27.3
Federico Bernardeschi,,2019-2020,25,1st,29,19,"1,571",1,1,17.6,2.92,0.02,0,561,81.9,40.0,89.6,67.3,55,502,93,90,630,28,9,1,11,Matches,62,42,3,1,1,0,14,7,309,23.6,901,61.9,845,688,81.4,34,10,31,100,54.5
Birkir Bjarnason,,2006,17,11th,16,4,451,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
Birkir Bjarnason,,2007,18,3rd,6,1,154,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Birkir Bjarnason,,2008,19,4th,22,12,"1,043",5,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Birkir Bjarnason,,2009,20,10th,30,28,"2,451",7,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Birkir Bjarnason,,2010,21,9th,25,24,"2,055",8,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Birkir Bjarnason,,2011,22,11th,25,19,"1,810",0,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Birkir Bjarnason,,2011-2012,23,5th,16,4,530,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,12,,,
Birkir Bjarnason,,2012-2013,24,20th,24,17,"1,619",2,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,29,,
Birkir Bjarnason,,2013-2014,25,12th,14,8,695,0,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,16,,
Birkir Bjarnason,,2013-2014,25,15th,1,1,90,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Birkir Bjarnason,,2014-2015,26,7th,35,32,"2,835",10,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,,,
Birkir Bjarnason,,2015-2016,27,1st,29,21,"1,977",10,5,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,,,
Birkir Bjarnason,,2016-2017,28,1st,13,9,839,4,2,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,4,,,
Birkir Bjarnason,,2016-2017,28,13th,8,5,407,0,0,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,3,8,,
Birkir Bjarnason,,2017-2018,29,4th,23,11,"1,097",3,2,16.0,2.05,0.12,0,,,,,,13,,,,,,,,,Matches,,,,,,,,14,,,,,,,,,12,23,,
Birkir Bjarnason,,2018-2019,30,5th,17,11,930,2,0,25.0,1.16,0.17,0,,,,,,21,,,,,,,,,Matches,,,,,,,,14,,,,,,,,,6,25,,
Birkir Bjarnason,,2019-2020,31,19th,13,9,798,0,1,33.3,1.02,0.00,0,205,76.5,10.0,85.5,62.5,13,165,44,59,54,194,6,2,2,Matches,14,11,0,3,2,0,10,5,142,14.8,333,33.3,262,231,88.2,4,4,16,60,66.7
Giacomo Bonaventura,,2007-2008,17,9th,1,0,13,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,0,,
Giacomo Bonaventura,,2008-2009,18,11th,1,0,45,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,1,,
Giacomo Bonaventura,,2009-2010,19,19th,16,5,652,0,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,11,,,
Giacomo Bonaventura,,2009-2010,19,18th,1,0,12,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,0,,
Giacomo Bonaventura,,2010-2011,20,1st,31,21,"1,792",9,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Giacomo Bonaventura,,2011-2012,21,12th,29,20,"1,750",2,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,22,,
Giacomo Bonaventura,,2012-2013,22,15th,35,31,"2,633",7,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,35,,
Giacomo Bonaventura,,2013-2014,23,11th,31,29,"2,513",5,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,20,,
Giacomo Bonaventura,,2014-2015,24,17th,1,1,90,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,2,,
Giacomo Bonaventura,,2014-2015,24,10th,33,28,"2,574",7,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,41,,
Giacomo Bonaventura,,2015-2016,25,7th,33,31,"2,840",6,8,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,43,,
Giacomo Bonaventura,,2016-2017,26,6th,19,19,"1,566",3,3,23.4,2.70,0.06,0,,,,,,73,,,,,,,,,Matches,,,,,,,,15,,,,,,,,,0,16,,
Giacomo Bonaventura,,2017-2018,27,6th,33,30,"2,541",8,2,44.8,2.37,0.12,0,1275,84.8,42.9,90.7,68.8,79,1137,144,222,237,1185,42,1,23,Matches,99,72,3,8,6,0,27,21,443,26.4,1820,63.3,1508,1363,90.4,37,3,23,223,41.7
Giacomo Bonaventura,,2018-2019,28,5th,8,8,646,3,1,38.5,3.62,0.12,0,327,87.4,83.3,91.1,69.8,8,308,24,42,59,293,13,2,4,Matches,27,19,3,2,2,0,3,2,100,23.0,444,85.7,411,370,90.0,8,0,5,44,50.0
Giacomo Bonaventura,,2019-2020,29,6th,29,13,"1,338",3,5,31.8,2.96,0.07,0,588,83.9,64.8,89.1,69.2,28,531,96,74,105,566,18,2,5,Matches,75,52,8,12,7,1,19,13,244,25.8,887,71.1,825,696,84.4,32,16,20,107,27.6
Fabio Borini,,2009-2010,18,1st,4,0,37,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,1,,
Fabio Borini,,2010-2011,19,3rd,9,8,670,6,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,15,,
Fabio Borini,,2011-2012,20,7th,24,20,"1,679",9,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,33,,
Fabio Borini,,2012-2013,21,7th,13,5,513,1,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,6,,
Fabio Borini,,2013-2014,22,14th,32,25,"2,142",7,2,,,,3,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,37,,
Fabio Borini,,2014-2015,23,6th,12,3,397,1,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,9,,
Fabio Borini,,2015-2016,24,17th,26,22,"1,891",5,2,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,31,,
Fabio Borini,,2016-2017,25,20th,24,19,"1,741",2,0,42.4,1.71,0.06,0,,,,,,37,,,,,,,,,Matches,,,,,,,,16,,,,,,,,,5,28,,
Fabio Borini,,2017-2018,26,6th,29,19,"1,610",2,3,38.9,2.01,0.06,0,643,76.6,18.8,85.3,59.1,58,531,118,190,132,581,39,2,12,Matches,42,33,1,4,4,0,29,14,281,24.2,1080,51.7,801,708,88.4,25,10,19,152,39.4
Fabio Borini,,2018-2019,27,5th,20,10,"1,054",2,2,22.6,2.65,0.06,0,263,69.0,20.0,81.0,44.6,14,230,63,88,62,270,12,3,11,Matches,34,22,4,3,2,0,16,11,251,23.1,564,43.8,460,372,80.9,18,10,14,64,57.6
Fabio Borini,,2019-2020,28,6th,2,1,70,0,0,0.0,2.57,0.00,0,17,77.3,0.0,78.6,100.0,0,15,4,3,8,12,2,0,0,Matches,1,0,1,0,0,0,2,2,13,30.8,35,100.0,24,21,87.5,1,1,1,6,
Fabio Borini,,2019-2020,28,9th,13,9,763,3,0,42.9,4.13,0.06,1,164,68.3,31.3,81.0,44.3,14,133,52,55,44,166,19,2,5,Matches,23,12,3,1,0,0,4,2,117,25.6,363,58.8,363,251,69.1,10,4,11,64,34.6
Hakan Çalhanoğlu,,2011-2012,17,16th,14,13,"1,026",0,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Hakan Çalhanoğlu,,2012-2013,18,1st,36,35,"3,057",17,12,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Hakan Çalhanoğlu,,2013-2014,19,16th,32,28,"2,440",11,4,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,30,,
Hakan Çalhanoğlu,,2014-2015,20,4th,33,31,"2,507",8,6,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,36,,
Hakan Çalhanoğlu,,2015-2016,21,3rd,31,27,"2,256",3,5,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,28,,
Hakan Çalhanoğlu,,2016-2017,22,12th,15,14,"1,215",6,5,48.9,3.48,0.11,1,,,,,,70,,,,,,,,,Matches,,,,,,,,17,,,,,,,,,1,18,,
Hakan Çalhanoğlu,,2017-2018,23,6th,31,25,"2,172",6,6,31.5,3.81,0.07,0,1023,76.0,34.7,86.5,58.1,158,885,137,324,130,1164,26,6,28,Matches,129,85,9,9,6,0,35,24,439,26.4,1644,75.7,1345,1179,87.7,51,6,29,175,41.7
Hakan Çalhanoğlu,,2018-2019,24,5th,36,34,"2,884",3,6,24.5,3.18,0.03,0,1507,79.9,34.4,88.6,64.0,152,1291,241,355,138,1674,38,4,36,Matches,149,107,7,12,7,0,54,44,542,25.5,2257,58.1,1919,1660,86.5,53,2,30,256,40.6
Hakan Çalhanoğlu,,2019-2020,25,6th,35,34,"2,704",9,9,31.4,3.39,0.08,1,1289,78.2,45.5,85.5,63.4,151,1070,260,319,179,1396,32,9,34,Matches,127,90,9,14,9,2,43,34,539,29.3,1996,66.1,1723,1472,85.4,48,1,38,201,30.3
Simone Edera,,2015-2016,18,12th,2,0,7,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,0,,
Simone Edera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Edera,,2017-2018,20,9th,14,2,327,1,1,62.5,2.20,0.13,0,80,75.5,14.3,83.5,57.1,4,87,9,10,92,8,3,1,1,Matches,7,5,1,2,2,0,6,5,105,21.9,175,43.8,171,125,73.1,10,12,10,19,66.7
Simone Edera,,2018-2019,21,10th,4,3,196,0,0,50.0,3.67,0.00,0,58,71.6,50.0,79.7,50.0,12,52,13,16,68,8,3,0,2,Matches,5,3,1,0,0,0,4,2,63,31.7,119,37.5,123,81,65.9,3,1,3,16,20.0
Simone Edera,,2018-2019,21,7th,3,1,77,0,0,0.0,1.17,0.00,0,29,85.3,100.0,85.7,75.0,2,25,1,8,29,4,1,0,0,Matches,3,2,0,0,0,0,2,1,27,33.3,48,25.0,41,35,85.4,6,2,2,5,0.0
Simone Edera,,2019-2020,22,16th,13,4,398,1,1,50.0,3.17,0.07,0,102,78.5,42.9,82.2,84.6,13,87,24,19,107,13,2,0,8,Matches,17,6,1,2,1,0,12,7,89,30.3,200,28.6,193,134,69.4,9,9,13,25,21.4
Iago Falque,,2010-2011,20,17th,36,35,"2,927",11,3,,,,2,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Iago Falque,,2011-2012,21,2nd,1,1,55,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,0,,
Iago Falque,,2012-2013,22,5th,1,0,6,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,0,,
Iago Falque,,2012-2013,22,3rd,18,17,"1,338",2,5,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Iago Falque,,2013-2014,23,12th,28,26,"1,972",3,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,23,,
Iago Falque,,2014-2015,24,6th,32,28,"2,334",13,3,,,,2,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,21,,
Iago Falque,,2015-2016,25,3rd,22,13,"1,167",2,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,8,,
Iago Falque,,2016-2017,26,9th,35,31,"2,516",12,8,36.9,2.33,0.15,2,,,,,,95,,,,,,,,,Matches,,,,,,,,27,,,,,,,,,4,20,,
Iago Falque,,2017-2018,27,9th,37,34,"2,821",12,8,28.0,2.39,0.16,0,1023,75.4,39.0,84.4,58.2,124,921,179,256,1095,186,43,3,29,Matches,122,88,8,14,12,1,45,25,581,27.7,1703,55.2,1615,1260,78.0,45,3,28,204,27.3
Iago Falque,,2018-2019,28,7th,26,19,"1,612",6,4,37.9,3.24,0.10,0,709,77.3,49.1,85.3,62.0,87,679,71,167,767,119,18,7,13,Matches,94,68,2,8,4,0,11,7,284,26.1,1150,50.0,1162,876,75.4,38,7,15,102,22.6
Iago Falque,,2019-2020,29,16th,4,1,102,0,0,66.7,2.65,0.00,0,54,84.4,33.3,97.6,68.8,4,45,9,10,55,5,3,0,0,Matches,3,2,0,0,0,0,0,0,17,29.4,76,75.0,66,59,89.4,1,3,1,9,0.0
Iago Falque,,2019-2020,29,17th,10,6,519,2,1,16.7,2.08,0.00,2,245,78.3,45.8,89.6,60.9,30,207,31,75,259,35,9,3,2,Matches,17,14,1,1,1,0,3,2,58,24.1,375,66.7,341,281,82.4,9,4,3,46,46.2
Rachid Ghezzal,,2012-2013,20,3rd,14,10,828,1,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,18,,
Rachid Ghezzal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachid Ghezzal,,2014-2015,22,2nd,18,6,593,0,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,12,9,,
Rachid Ghezzal,,2015-2016,23,2nd,29,16,"1,593",8,8,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,13,27,,
Rachid Ghezzal,,2016-2017,24,4th,26,15,"1,374",2,2,37.5,2.62,0.05,0,,,,,,58,,,,,,,,,Matches,,,,,,,,15,,,,,,,,,11,24,,
Rachid Ghezzal,,2017-2018,25,2nd,26,7,987,2,2,21.2,3.01,0.06,0,401,72.9,37.0,81.5,56.9,52,380,45,125,417,98,25,3,15,Matches,50,26,7,10,7,1,18,11,226,28.8,743,51.0,631,530,84.0,31,19,19,85,23.5
Rachid Ghezzal,,2018-2019,26,9th,19,8,743,1,0,28.6,2.54,0.05,0,355,76.2,50.0,83.8,58.5,45,306,66,94,373,55,30,1,10,Matches,39,27,2,0,0,0,13,9,221,25.3,581,60.9,473,412,87.1,16,11,13,74,35.7
Rachid Ghezzal,,2019-2020,27,10th,19,9,828,1,0,18.2,1.20,0.09,0,406,82.0,50.0,87.2,72.0,31,350,72,73,398,63,21,1,8,Matches,35,28,2,0,0,0,24,17,208,25.5,618,50.0,517,458,88.6,17,10,22,68,53.3
Andrea Ghezzi,,2019-2020,,19th,5,0,37,0,0,0.0,4.86,0.00,0,6,60.0,,71.4,33.3,0,4,3,3,4,6,0,0,1,Matches,0,0,0,0,0,0,1,0,13,38.5,17,0.0,12,11,91.7,1,5,1,3,0.0
Papu Gómez,,2010-2011,22,13th,36,30,"2,553",4,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,33,,
Papu Gómez,,2011-2012,23,11th,34,33,"2,758",4,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,29,,
Papu Gómez,,2012-2013,24,8th,36,34,"2,962",8,7,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,37,,
Papu Gómez,,2013-2014,25,3rd,23,20,"1,717",3,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Papu Gómez,,2014-2015,26,17th,24,18,"1,496",3,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,12,,
Papu Gómez,,2015-2016,27,13th,34,33,"2,810",7,7,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,30,,
Papu Gómez,,2016-2017,28,4th,37,37,"3,119",16,10,43.6,3.38,0.12,2,,,,,,359,,,,,,,,,Matches,,,,,,,,19,,,,,,,,,0,35,,
