playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Edin Džeko,9238322.259,9900000,2019,32,6,33,28,2579,9,6,37.3,4.68,0.07,0,513,69.6,29,19,,106,71,16,17,13,14,346,21.7,1136,61.4,1461,876,60,66,31,111,61.5
Nabil Fekir,26399920.73,28800000,2020,26,15,32,31,2638,7,4,101,40,39.6,1,839,81.1,51,22,38,111,68,16,11,6,43,593,24.3,1524,66.1,1486,1197,80.6,68,69,158,36.1
Son Heung-min,67187798.25,72000000,2019,26,4,31,23,2039,12,6,75,28,37.3,0.16,646,83.7,25,22,,79,53,16,14,7,18,471,25.3,1088,56.7,1243,858,69,47,11,129,17.9
Alexandre Lacazette,58789323.47,63000000,2019,27,5,35,27,2502,13,8,81,28,34.6,0.16,579,72.6,30,23,,81,53,16,17,11,35,545,24.8,1168,72.2,1435,893,62.2,68,51,104,29
Kylian Mbappé,167969495.6,180000000,2019,19,1,29,24,2343,33,7,121,65,53.7,1,637,77.4,25,24,34,110,70,16,22,12,7,281,20.6,1183,55.3,1449,1022,70.5,59,19,80,28.6
Raheem Sterling,76946825.94,81000000,2018,22,1,33,29,2587,18,11,85,33,38.8,0.2,999,82.9,42,26,,134,94,16,27,20,22,300,33,1603,51.1,1650,1312,79.5,70,39,161,33.3
Cristiano Ronaldo,49499851.36,54000000,2020,34,1,33,33,2917,31,5,34.2,6.05,0.1,12,1086,84.3,35,26,,142,88,16,19,10,16,249,22.1,1761,64.4,1929,1504,78,69,25,112,49.3
Thorgan Hazard,32488659.84,34200000,2018,24,9,34,33,2939,10,5,32.9,2.42,0.06,5,998,73.1,144,37,,131,77,16,15,8,45,588,27,1797,52.2,1663,1228,73.8,66,25,248,36.6
Michail Antonio,7837476.466,8550000,2020,29,16,24,19,1768,10,3,67,30,44.8,0.13,325,64.1,49,6,,58,31,15,7,2,14,337,23.1,851,66.7,1134,626,55.2,71,40,95,39.6
Son Heung-min,52799841.45,57600000,2020,27,6,30,28,2476,11,10,81,39,48.1,0.14,705,79.9,77,15,,95,60,15,22,13,33,544,24.4,1241,57.8,1273,868,68.2,46,17,183,19
Denis Bouanga,9331638.646,10000000,2019,23,9,35,29,2633,8,2,88,33,37.5,0,456,67.3,47,21,24,75,49,15,5,3,65,678,23.6,1165,46.7,1120,750,67,96,41,206,27.8
Paulo Dybala,74249777.04,81000000,2020,25,1,33,25,2155,11,6,35,4.18,0.1,1,1274,83.4,106,23,,149,96,15,24,10,24,398,27.4,1884,58,1738,1521,87.5,50,24,126,25
Serge Gnabry,59399821.63,64800000,2020,24,1,31,26,2193,12,10,41.7,3.94,0.13,0,883,78.3,71,37,,96,72,15,17,12,39,434,31.6,1469,59.8,1524,1172,76.9,55,15,152,22.7
Roberto Firmino,59399821.63,64800000,2020,27,1,38,34,2988,9,8,100,37,37,0.09,931,79.5,8,51,,94,72,15,19,14,37,694,31.1,1573,60.8,1818,1218,67,64,29,191,28.2
Moses Simon,7333311.313,8000000,2020,24,13,26,25,2177,5,5,43,18,41.9,0,490,73.9,72,11,50,69,50,14,10,6,14,318,22.6,954,50.5,1076,713,66.3,58,10,138,20
