playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Thorgan Hazard,26399920.73,28800000,2020,26,2,33,28,2380,7,13,42,1.89,0.14,0,961,76.8,111,34,,103,63,8,20,17,42,587,26.4,1563,57.7,1502,1176,78.3,53,37,164,35.4
Ciro Immobile,33593899.12,36000000,2019,28,8,36,31,2859,15,6,37,3.75,0.09,4,734,76,21,36,,120,96,8,12,11,10,436,26.4,1331,40,1704,1077,63.2,69,24,156,34.9
Thomas Müller,26875119.3,28800000,2019,28,1,32,28,2378,6,9,43.1,2.2,0.1,0,934,73.9,54,37,,105,82,8,17,13,48,561,31,1556,67.6,1523,1191,78.2,50,23,165,45.1
Gabriel Jesus,58789323.47,63000000,2019,21,1,29,8,1036,7,3,42,22,52.4,0.14,296,82.7,4,3,,45,31,7,6,5,9,216,29.6,535,48.9,686,422,61.5,38,12,57,17.6
Raúl de Tomás,13199960.36,14400000,2020,24,2,7,6,463,0,0,33,14,42.4,1,214,79,10,4,6,28,10,7,2,0,7,197,22.3,434,64.6,602,329,54.7,35,23,46,33.8
Ezequiel Ávila,9899970.272,10800000,2020,25,10,20,18,1591,9,2,68,27,39.7,0,185,57.3,22,5,23,48,29,7,6,3,19,342,26.9,575,45.5,840,395,47,43,46,88,36.4
Luis Muriel,12374962.84,13500000,2020,28,3,34,10,1260,18,1,47.2,5.14,0.17,6,367,72,40,6,,69,47,7,7,3,15,251,33.5,782,49.2,846,589,69.6,38,27,91,41.2
Roberto Inglese,12597712.17,13500000,2019,26,14,25,23,1965,9,0,42.2,2.06,0.16,2,273,66.6,18,6,,33,21,7,5,1,17,423,21.3,736,64.4,1106,495,44.8,71,56,75,35.8
Patrick Roberts,4199237.39,4500000,2019,21,18,19,6,601,0,0,7,5,71.4,0,156,79.6,8,7,,21,11,7,3,2,7,152,13.2,282,63.2,272,205,75.4,19,0,44,25
Duván Zapata,29699910.82,32400000,2020,28,3,28,25,2026,18,6,40.2,3.86,0.2,1,440,76.1,30,8,,72,56,7,12,10,7,231,29.4,930,54.4,1207,738,61.1,78,36,89,41.2
Hirving Lozano,23099930.64,25200000,2020,24,7,27,11,1174,4,1,38.2,2.99,0.12,0,270,76.7,48,8,,46,33,7,3,2,10,283,17.7,535,54.5,571,417,73,31,22,60,38.5
Jhon Córdoba,5459008.608,5850000,2019,25,1,31,22,1911,20,1,40.6,2.88,0.2,0,320,78.4,11,9,,59,35,7,11,7,14,445,25.2,738,54.2,1059,521,49.2,86,58,94,37
Oumar Niasse,6839717.862,7200000,2018,27,8,22,10,1087,8,2,38,18,47.4,0.21,162,62.3,9,9,,35,21,7,8,3,6,166,25.9,441,57.1,630,329,52.2,58,30,57,39.7
Demarai Gray,15117254.61,16200000,2019,22,9,34,23,1985,4,1,46,19,41.3,0.09,523,73.8,53,10,,41,25,7,5,4,19,408,29.2,972,66.7,998,733,73.4,59,15,137,29.6
Franck Ribéry,3419858.931,3600000,2018,34,1,20,15,1203,5,1,42.1,1.42,0.26,0,690,84,41,12,,72,53,7,9,5,13,231,28.1,1017,52.8,939,834,88.8,34,11,96,16.7
Érik Lamela,18476644.52,19800000,2019,26,4,19,9,974,4,2,29,11,37.9,0.14,368,82,28,12,,51,29,7,6,3,21,225,27.6,600,63.6,588,437,74.3,23,23,76,41.7
Ayoze Pérez,19799940.54,21600000,2020,26,5,33,26,2004,8,4,46,20,43.5,0.15,616,79.7,29,13,,69,53,7,11,8,51,575,30.3,1107,64.7,1122,804,71.7,48,30,138,34.3
Andrea Petagna,11962464.08,13050000,2020,24,20,36,33,3032,12,1,24,3.09,0.07,5,644,73.5,33,14,,86,68,7,1,1,7,265,22.3,1319,63.7,1582,1058,66.9,85,54,126,41.1
Kalifa Coulibaly,4199237.39,4500000,2019,26,12,32,19,1751,8,2,50,16,32,1,252,56.9,15,15,18,48,36,7,7,5,13,279,20.4,702,50,1077,537,49.9,79,55,74,54.4
Moussa Dembélé,25195424.34,27000000,2019,22,3,33,21,2016,15,4,85,36,42.4,1,324,74.5,8,16,23,61,41,7,8,6,10,284,25,719,67.9,879,517,58.8,66,35,87,41
Davie Selke,25648941.98,27000000,2018,22,10,27,19,1886,10,0,48.9,2.24,0.19,1,282,60.9,13,16,,48,24,7,10,3,10,418,21.3,729,43.4,963,538,55.9,54,60,91,46.5
Christopher Nkunku,27224918.25,29700000,2020,21,3,32,21,1925,5,13,44.2,2.43,0.1,0,666,79.2,122,16,,105,60,7,21,12,29,428,34.8,1145,56.7,1016,768,75.6,50,24,128,35.8
Edinson Cavani,51297883.96,54000000,2018,30,1,32,30,2581,28,5,104,49,47.1,3,395,78.1,14,17,20,64,44,7,18,9,11,296,27,749,51.7,888,541,60.9,30,19,81,0
Krzysztof Piątek,17737446.74,19350000,2020,24,10,33,23,2283,8,1,34.8,2.28,0.09,5,244,75.5,7,17,,49,32,7,9,2,10,574,24.3,734,68.8,1132,555,49,58,47,77,33.8
Cengiz Ünder,29394661.73,31500000,2019,21,6,26,17,1375,3,7,28.6,2.75,0.07,0,417,72.6,61,17,,67,46,7,11,8,7,230,20,765,50.9,793,608,76.7,40,9,79,50
Krzysztof Piątek,17737446.74,19350000,2020,24,6,33,23,2092,8,1,26.7,3.42,0.02,5,344,75.7,7,17,,49,32,7,9,2,10,574,24.8,734,75,1132,555,49.1,58,47,77,37
Gonçalo Guedes,33593899.12,36000000,2019,21,4,25,18,1465,5,3,35,14,40,0,466,71.1,52,18,35,57,39,7,11,9,30,303,22.8,874,63.9,823,673,81.8,31,19,112,33.3
Nils Petersen,8549647.327,9000000,2018,28,15,32,24,2244,15,1,30.4,2.25,0.18,5,387,64.9,17,18,,66,49,7,8,3,26,626,23.2,923,53,1087,617,56.8,78,16,136,41.8
Harry Kane,98999702.72,108000000,2020,26,6,29,29,2587,18,2,78,34,43.6,0.21,394,66.6,21,19,,53,37,7,6,3,20,448,22.3,923,47.5,1328,689,51.9,52,37,92,34.2
Diego Perotti,17099294.65,18000000,2018,29,3,25,17,1609,5,3,32.4,1.9,0.09,2,708,77,123,19,,85,56,7,7,6,26,328,27.1,1164,63.2,1071,898,83.8,37,12,111,42.9
Ángel Correa,29394661.73,31500000,2019,23,2,36,20,1919,3,2,32,11,34.4,0,566,73.9,34,19,48,79,59,7,12,10,38,579,25,1102,58.6,1100,788,71.6,54,38,164,42.9
Sergio Agüero,68397178.62,72000000,2018,29,1,25,22,1963,21,6,92,38,41.3,0.18,530,81.9,16,20,,74,57,7,10,9,8,262,26.7,930,60.8,1123,743,66.2,49,10,90,28.6
Neal Maupay,16499950.45,18000000,2020,22,15,37,30,2766,10,3,90,34,37.8,0.1,540,78.5,12,20,,71,51,7,7,6,28,703,26.3,1063,48.6,1440,763,53,57,37,141,16.7
Michail Antonio,12597712.17,13500000,2019,28,10,33,22,2103,6,4,65,25,38.5,0.09,513,66,50,20,,55,36,7,9,4,31,395,21.3,1225,62,1284,849,66.1,84,35,154,44.6
José Luis Morales,5362483.897,5850000,2020,32,12,38,29,2519,4,2,39,14,35.9,0,472,67.4,70,21,60,66,51,7,6,4,15,353,22.1,999,49,1124,754,67.1,71,17,134,42.1
Leandro Trossard,10724967.79,11700000,2020,24,15,31,22,2011,5,3,42,13,31,0.12,567,71.3,76,22,,78,55,7,9,4,28,373,26.8,1039,56.7,1030,768,74.6,41,13,138,8.3
Pierre-Emerick Aubameyang,46199861.27,50400000,2020,30,8,36,35,3136,22,3,90,40,44.4,0.22,612,68.9,86,23,,54,38,7,9,6,39,573,22.7,1248,51,1528,939,61.5,58,14,125,38.5
Eric Maxim Choupo-Moting,7599686.513,8000000,2018,28,19,30,26,2314,5,5,58,17,29.3,0,480,68.7,38,23,45,58,40,7,11,7,40,348,26.1,1071,56.9,1055,733,69.5,69,22,153,42.9
Gianluca Caprari,8549647.327,9000000,2018,24,10,34,19,1809,5,3,36.2,3.43,0.07,0,505,74.7,59,23,,73,53,7,6,4,21,348,26.4,1006,57.7,1023,760,74.3,56,20,104,16.2
Andrea Belotti,29394661.73,31500000,2019,24,7,37,37,3299,15,3,33.9,3.38,0.08,5,529,65.4,24,23,,98,64,7,7,4,28,505,25.9,1386,48.9,1763,1025,58.1,99,72,188,46.4
Ciro Immobile,42748236.64,45000000,2018,27,5,33,33,2683,29,6,45.2,3.49,0.21,7,615,78.5,16,24,,89,65,7,24,14,10,382,27,1161,49.1,1468,912,62.1,90,25,134,26.5
Joaquín,1679694.956,1800000,2019,37,10,30,17,1696,6,0,25,12,48,0,798,81.3,92,25,27,80,56,7,5,3,12,233,26.2,1168,75,1066,886,83.1,26,8,101,33.3
Cristian Tello,5129788.396,5400000,2018,25,6,32,16,1699,4,1,34,17,50,0,555,77.1,22,27,27,47,36,7,7,6,21,373,23.9,898,61.5,795,657,82.6,34,13,123,33.3
Kai Havertz,68027645.73,72900000,2019,19,4,34,33,2894,17,3,45.9,2.64,0.16,3,1577,86.9,23,29,,110,92,7,16,15,31,479,31.5,2257,63.2,2209,1838,83.2,71,24,234,43
Gerard Moreno,14697330.87,15750000,2019,26,14,35,25,2315,8,1,72,32,44.4,0,550,72,19,30,39,66,49,7,5,1,20,387,20.9,1109,63.5,1328,817,61.5,74,39,116,53.2
Miguel Almirón,13199960.36,14400000,2020,25,13,36,35,3021,4,2,55,17,30.9,0.07,682,76.3,42,31,,77,58,7,2,2,62,733,23.9,1309,49.5,1281,894,69.8,60,30,228,19.6
Dimitri Payet,10498093.48,11250000,2019,31,5,31,23,1904,4,6,36,13,36.1,2,840,69.2,213,31,41,136,70,7,11,8,14,338,26.6,1401,61.8,1203,998,83,38,13,116,18.2
Pablo Sarabia,37998432.56,40000000,2018,25,7,34,27,2394,6,5,58,27,46.6,0,840,72.7,112,32,44,83,61,7,10,6,19,568,22,1477,57.9,1304,1028,78.8,65,42,188,22.2
Anthony Martial,50390848.69,54000000,2019,22,6,27,18,1621,10,2,37,22,59.5,0.24,575,76.5,33,32,,67,51,7,11,6,19,207,25.6,978,54.4,1024,812,79.3,42,14,84,56.7
Dele Alli,85496473.27,90000000,2018,21,3,36,34,2958,9,10,75,18,24,0.12,972,77.4,18,33,,126,94,7,20,14,40,626,29.2,1816,45.5,1805,1332,73.8,104,45,248,37
Radja Nainggolan,38473412.97,40500000,2018,29,3,31,31,2613,4,7,23,2.1,0.07,0,1051,79.6,81,33,,106,88,7,17,13,55,526,27,1658,67.5,1435,1221,85.1,44,37,269,41.4
Pablo Fornals,18476644.52,19800000,2019,22,14,35,28,2479,2,3,57,16,28.1,0.04,926,77.6,36,36,,91,77,7,7,6,47,798,21.2,1565,57.1,1503,1144,76.1,57,31,223,17.9
Domenico Berardi,15674952.93,17100000,2020,24,8,30,28,2403,14,10,39.1,4.12,0.11,2,842,73.8,107,36,,109,69,7,14,9,37,627,22.5,1552,57.1,1314,1100,83.7,51,54,189,44.4
Hakan Çalhanoğlu,16796949.56,18000000,2019,24,5,36,34,2884,3,6,24.5,3.18,0.03,0,1507,79.9,152,36,,149,107,7,12,7,54,542,25.5,2257,58.1,1919,1660,86.5,53,30,256,40.6
Roberto Firmino,67187798.25,72000000,2019,26,2,34,31,2607,12,6,73,31,42.5,0.15,1056,81,9,40,,98,82,7,15,11,33,733,28.6,1647,69.2,1763,1327,75.3,75,40,167,26.9
Antoine Griezmann,100781697.4,108000000,2019,27,2,37,37,3198,15,8,110,45,40.9,3,1136,75.2,101,46,53,127,88,7,16,9,40,753,20.5,1867,59.3,1953,1410,72.2,57,18,184,50.8
Thorgan Hazard,33593899.12,36000000,2019,25,5,33,33,2873,10,11,31.5,2.29,0.1,3,980,70.3,183,46,,117,73,7,16,12,43,611,21.8,1783,64.6,1595,1215,76.2,65,27,237,17.5
Divock Origi,13199960.36,14400000,2020,24,1,28,7,717,4,1,14,6,42.9,0.29,158,72.1,18,4,,23,11,6,4,0,15,152,34.9,342,42.3,385,256,66.5,21,12,43,36.8
Justin Kluivert,16796949.56,18000000,2019,19,6,29,14,1341,1,6,38.1,1.41,0.05,0,351,74.5,68,5,,59,44,6,9,7,28,296,25.7,667,48.4,695,480,69.1,41,25,97,45
Khouma Babacar,4289987.118,4680000,2020,26,18,25,17,1422,3,0,34,2.97,0.06,0,225,73.5,2,5,,45,27,6,5,0,17,290,16.2,537,54.8,665,378,56.8,46,35,64,29.2
Dawid Kownacki,2887491.329,3150000,2020,22,17,20,11,1093,0,0,40.7,2.22,0,0,214,68.8,15,6,,33,20,6,2,1,16,226,32.3,497,54.2,532,323,60.7,29,21,87,43.4
Adnan Januzaj,10078169.74,10800000,2019,23,9,20,13,1254,1,3,33,7,21.2,0,367,66.4,118,6,29,59,29,6,7,5,13,198,25.8,821,57.5,792,605,76.4,61,16,72,7.1
Javairô Dilrosun,11962464.08,13050000,2020,21,10,23,16,1309,4,2,31.6,1.31,0.21,0,298,72.3,34,6,,25,14,6,4,2,15,205,23.4,611,72.7,522,384,73.6,33,6,109,21.1
Adam Ounas,6599980.182,7200000,2020,22,6,16,14,1123,2,4,21,9,42.9,0,374,75.7,53,6,23,45,31,6,5,4,9,198,22.2,659,57.4,612,496,81,23,7,71,13.3
Kévin Zohi,1466662.263,1600000,2020,22,10,17,5,530,1,1,16,5,31.3,0,109,70.8,15,6,11,13,7,6,2,1,9,100,25,228,64,243,162,66.7,17,8,40,22.2
Jules Keita,1679694.956,1800000,2019,20,18,17,2,456,2,1,16,5,31.3,0,107,78.1,1,6,3,20,11,6,2,1,9,82,24.4,230,59.1,234,173,73.9,19,12,32,0
Ante Rebić,19799940.54,21600000,2020,25,6,27,16,1485,11,3,47.6,2.71,0.26,0,277,61.6,46,7,,62,47,6,9,3,20,344,25.2,680,58.2,694,509,74.8,53,32,80,41.9
Ante Rebić,19799940.54,21600000,2020,25,6,27,16,1485,11,3,47.6,2.71,0.26,0,277,61.6,46,7,,62,47,6,9,3,20,344,25.2,680,58.2,694,509,74.8,53,32,80,41.9
Bertrand Traoré,8708307.184,9500000,2020,23,7,23,14,1253,1,3,35,11,31.4,0,434,74.7,76,7,16,52,28,6,4,3,27,236,28,816,53.8,709,569,80.3,47,21,87,50
Gianluca Lapadula,4949985.136,5400000,2020,29,18,24,19,1694,10,0,34.5,3.08,0.14,2,235,77.3,9,7,,46,30,6,6,3,18,302,18.9,563,62.9,847,398,47,57,43,73,40
Bassem Srarfi,2849882.442,3000000,2018,20,8,26,10,870,3,1,26,7,26.9,0,303,81.5,17,7,14,30,17,6,3,1,15,117,22.2,534,60.4,479,403,84.1,21,13,57,50
Pedro Neto,5878932.347,6300000,2019,18,8,4,0,46,0,0,17,6,35.3,0.18,303,76.3,47,7,,33,20,6,7,4,11,240,27.5,538,55.2,558,385,69,22,14,82,20.5
Tammy Abraham,32999900.91,36000000,2020,21,4,34,25,2215,15,3,88,35,39.8,0.17,288,69.7,10,8,,47,33,6,10,4,14,429,30.3,740,58.3,1076,496,46.1,71,17,95,37.6
Breel Embolo,12824470.99,13500000,2018,20,2,21,9,919,3,0,61.1,1.76,0.17,0,160,75.5,7,8,,24,8,6,5,1,19,264,28.4,402,45.3,479,285,59.5,40,42,58,20.8
Matheus Cunha,18149945.5,19800000,2020,20,3,10,2,279,0,1,42.9,4.23,0.17,0,120,68.2,5,8,,28,16,6,4,1,12,177,25.4,315,79.1,303,204,67.3,17,25,60,27.3
Mauro Icardi,81221649.61,85500000,2018,24,4,34,34,2958,29,1,96,46,47.9,6,325,73.2,9,9,12,58,46,6,9,6,4,404,26.7,724,51.6,1034,499,48.3,51,15,99,45.1
Sergi Guardiola,5039084.869,5400000,2019,27,16,17,17,1514,3,1,54,19,35.2,0,455,68.1,35,9,44,50,35,6,6,3,19,552,17.9,1032,57.1,1307,771,59,83,52,118,23.9
Anwar El Ghazi,6298856.086,6750000,2019,23,5,31,25,2163,5,6,50,19,38,0.06,402,65.4,106,9,,57,38,6,6,4,17,350,21.1,843,62.5,912,606,66.4,37,20,122,37.3
Romain Hamouma,2332909.661,2500000,2019,31,4,27,19,1586,4,4,35,10,28.6,0,410,69.5,90,9,34,54,38,6,8,5,31,286,25.2,825,47.1,837,579,69.2,45,24,109,32.8
Rabbi Matondo,6599980.182,7200000,2020,18,12,20,14,1162,2,0,29.2,1.86,0.08,0,163,68.2,10,9,,30,17,6,0,0,10,272,23.5,421,51.6,539,305,56.6,47,22,68,22.2
Ademola Lookman,14277407.13,15300000,2019,20,8,21,3,618,0,2,25,1.75,0,0,221,81,16,9,,24,16,6,4,3,15,138,29,391,67.5,360,279,77.5,17,8,54,30
Álvaro Morata,41992373.9,45000000,2019,25,2,31,24,2024,11,1,61,30,53.8,0,350,63.9,10,10,21,50,32,6,6,4,22,433,26.6,770,62.5,1100,600,51.4,56,48,69,50
Ángel Correa,26399920.73,28800000,2020,24,3,33,22,2061,5,6,44,17,38.6,0,454,75.3,35,10,20,64,51,6,10,8,23,410,30,942,55.4,917,666,72.6,79,26,147,30.2
André Silva,19799940.54,21600000,2020,23,9,26,17,1635,12,3,40.7,3.09,0.2,1,346,70.4,11,10,,56,41,6,7,3,10,270,36.3,725,51.4,1110,549,54.4,55,15,90,41.9
André Silva,19799940.54,21600000,2020,23,9,26,17,1635,12,3,40.7,3.09,0.2,1,346,70.4,11,10,,56,41,6,7,3,10,285,36.3,745,51.4,1110,549,54.4,55,15,90,41.9
Felipe Caicedo,2519542.434,2700000,2019,29,8,28,17,1371,8,2,38.5,2.56,0.18,1,277,75.5,1,10,,38,28,6,7,3,19,278,25.5,515,75,657,413,62.9,27,28,56,37.9
Tammy Abraham,8549647.327,9000000,2018,19,18,31,15,1726,5,1,43,14,32.6,0.12,208,67.3,13,11,,31,20,6,2,1,11,178,32.6,535,57.8,691,392,56.7,60,15,61,50
Duván Zapata,18809224.12,19800000,2018,26,10,31,24,2108,11,3,41.1,2.39,0.2,0,396,66.8,42,11,,50,38,6,10,5,11,336,25,957,60.7,1185,734,61.9,89,27,105,42.5
Samu Castillejo,9074972.75,9900000,2020,24,6,22,16,1209,2,3,25.8,2.31,0.06,0,422,75.4,68,11,,63,42,6,6,4,25,329,26.7,755,53.3,662,509,76.9,22,14,99,33.3
Gareth Bale,50390848.69,54000000,2019,29,3,29,21,1786,8,3,74,31,41.9,1,569,72.7,70,12,29,44,30,6,8,6,14,241,24.1,1007,67.6,1108,830,74.9,26,18,72,46.3
Riyad Mahrez,50390848.69,54000000,2019,27,1,27,14,1343,7,4,54,24,44.4,0.13,717,81.1,74,12,,54,33,6,9,6,14,261,26.1,1069,56.4,944,832,88.1,21,10,106,40
Dodi Lukebakio,17636797.04,18900000,2019,20,10,31,22,1972,10,3,52.9,2.33,0.12,4,444,74.6,41,12,,54,36,6,6,3,25,282,23,933,66.7,1021,695,68.1,76,30,112,46.7
Enes Ünal,6599980.182,7200000,2020,22,13,35,23,2344,6,2,57,23,40.4,2,423,68.1,8,13,24,57,39,6,7,4,20,470,21.3,948,61.9,1284,713,55.5,76,41,129,42.4
Denis Cheryshev,6839717.862,7200000,2018,26,5,24,9,931,2,1,29,9,31,0,230,66.3,26,13,16,30,20,6,2,1,18,235,25.1,503,54.2,424,331,78.1,20,21,79,31.3
Sada Thioub,2309993.064,2520000,2020,24,11,23,15,1508,1,2,14,5,35.7,0,555,79.7,52,13,28,56,42,6,4,4,21,347,24.2,922,60.4,919,702,76.4,43,24,121,25.8
Ángel Rodríguez,3419858.931,3600000,2018,30,8,33,26,2288,13,3,70,29,41.4,0,262,65.3,19,14,25,41,26,6,7,3,19,549,24.4,705,43.6,1044,517,49.5,76,49,75,27.3
Romain Hamouma,2374902.035,2500000,2018,30,7,29,22,1847,5,3,43,18,41.9,0,456,70.7,107,14,33,71,33,6,11,5,15,243,32.9,880,51.5,823,598,72.7,40,16,106,45
Jesse Lingard,26875119.3,28800000,2019,25,6,27,19,1663,4,2,31,12,38.7,0.1,668,84.8,18,14,,59,47,6,11,6,20,535,26.2,979,48.7,1084,765,70.6,31,27,101,5.6
Dušan Vlahović,13199960.36,14400000,2020,19,10,29,12,1434,6,0,29.3,3.64,0.09,1,228,69.5,11,14,,38,20,6,2,0,4,228,24.6,601,69.6,777,443,57,65,19,84,37.9
Abdoul Kader Bamba,1466662.263,1600000,2020,25,13,27,16,1468,1,3,19,9,47.4,0,571,79.2,55,14,25,71,42,6,6,2,28,306,27.8,960,56.1,882,704,79.8,40,20,129,33.3
Sergio Canales,8549647.327,9000000,2018,26,12,36,20,1934,4,5,64,16,25,0,1035,79.7,152,15,36,116,65,6,8,4,27,446,23.3,1542,73.5,1286,1121,87.2,35,22,141,14.3
Martin Terrier,8549647.327,9000000,2018,20,15,25,19,1671,3,2,49,16,32.7,0,363,74.2,24,15,12,51,35,6,8,4,36,248,29.4,712,50,661,497,75.2,39,25,104,40.4
Bernardo Silva,65999801.82,72000000,2020,24,2,34,23,2030,6,7,49,15,30.6,0.12,1262,87,71,15,,94,81,6,12,9,39,408,30.4,1686,67.2,1515,1325,87.5,15,23,183,28.2
Stiven Mendoza,3266073.526,3500000,2019,26,15,25,22,1877,2,2,41,9,22,0,513,71.8,86,15,32,66,41,6,7,6,36,455,23.5,1008,60,937,684,73,58,25,154,42.1
Adnan Januzaj,7837476.466,8550000,2020,24,6,24,13,1167,3,3,25,8,32,0,323,65.1,66,15,36,54,27,6,6,3,9,174,24.7,703,52.3,678,545,80.4,43,25,59,35
Goran Pandev,268582.5268,293000,2020,36,17,33,17,1604,9,0,58.3,2.02,0.25,0,421,75.2,13,16,,62,45,6,10,4,9,268,23.1,813,46.9,896,642,71.7,59,17,123,21.6
Grégoire Defrel,2939466.173,3150000,2019,27,9,36,26,2339,11,3,45.8,1.85,0.23,0,672,83.5,18,16,,71,56,6,10,7,36,705,23.4,1090,61.2,1314,833,63.4,53,38,147,40
Levin Öztunalı,2309993.064,2520000,2020,23,13,27,19,1778,4,3,28.6,1.77,0.11,0,349,65.2,40,16,,61,45,6,6,3,35,398,26.4,801,61.3,658,458,69.6,39,25,179,50
Sergio Agüero,54590086.08,58500000,2019,30,1,33,31,2459,21,8,118,41,34.7,0.16,665,84.7,14,17,,73,51,6,17,12,17,462,26.6,1142,52.7,1389,892,64.2,66,22,129,44
Radja Nainggolan,13199960.36,14400000,2020,31,13,26,25,2071,6,7,29.2,2.82,0.09,0,889,77.1,81,17,,92,73,6,12,8,33,266,27.4,1448,69.8,1179,1044,88.5,44,22,214,36.6
Giovanni Simeone,14277407.13,15300000,2019,23,16,36,27,2454,6,3,40.6,2.53,0.09,0,248,67.8,21,18,,66,48,6,7,4,32,482,23.4,767,58.2,1062,518,48.8,80,48,118,25
Lucas Vázquez,21374118.32,22500000,2018,26,3,33,16,1688,4,7,34,16,47.1,0,820,80.2,93,18,43,101,84,6,11,9,44,486,20.8,1262,56.7,1175,991,84.3,22,33,108,36.4
Pierre-Emerick Aubameyang,58789323.47,63000000,2019,29,5,36,30,2726,22,5,89,34,38.2,0.2,526,70.9,45,19,,60,44,6,12,7,21,597,25.1,1074,51.8,1450,831,57.3,67,13,100,28.4
Rodrigo Palacio,329999.0091,360000,2020,37,12,34,27,2472,7,3,43.1,2.11,0.12,0,749,74.2,95,19,,82,72,6,9,7,23,590,25.8,1405,51.9,1633,1077,66,80,30,141,40.7
Alex Oxlade-Chamberlain,34198589.31,36000000,2018,23,4,35,17,1734,3,7,48,17,38.5,0.08,779,76.4,85,20,,79,60,6,14,11,29,427,31.9,1209,64.2,941,804,84.4,44,15,189,32.3
Gaël Kakuta,2309993.064,2520000,2020,28,19,24,23,2001,2,5,42,12,28.6,0,592,68.2,93,20,46,55,41,6,8,7,44,552,27.7,1211,57.6,1161,891,76.7,69,30,131,28
André Silva,18476644.52,19800000,2019,22,6,27,25,2159,9,0,41,2.54,0.15,0,399,72.5,11,20,,58,45,6,6,3,9,371,24.8,838,36.2,1237,614,49.6,55,42,110,36.9
André Silva,16796949.56,18000000,2019,22,6,27,25,2159,9,0,41,2.54,0.15,0,399,72.5,11,20,,58,45,6,6,3,9,371,24.8,838,36.2,1237,614,49.6,55,42,110,36.9
Nadiem Amiri,14534400.46,15300000,2018,20,3,28,19,1744,2,3,35.6,2.32,0.04,0,676,77.3,46,21,,66,45,6,5,5,31,434,26.3,1165,64.6,942,806,85.6,50,42,194,40.9
Renato Sanches,16499950.45,18000000,2020,21,1,1,0,6,0,0,31,11,35.5,0,816,81,86,21,25,64,36,6,4,2,32,413,30.5,1230,65.8,969,866,89.4,37,34,169,30.8
Remi Oudin,10264802.51,11000000,2019,21,8,37,32,2612,10,4,79,25,31.6,0,493,58.3,58,22,52,53,36,6,5,5,45,544,21.3,1198,58.5,1163,786,67.6,59,32,201,27
Willian,18562444.26,20250000,2020,30,4,36,29,2600,9,7,67,26,38.8,0.07,1247,77.9,175,22,,145,98,6,13,10,43,528,28.4,1928,72.1,1730,1438,83.1,51,17,221,30.3
Josip Brekalo,12597712.17,13500000,2019,20,6,25,15,1415,3,3,50,1.65,0.12,0,421,69.7,58,23,,54,34,6,7,6,14,356,20.5,791,55.1,742,566,76.3,32,17,95,31.3
Serge Gnabry,67187798.25,72000000,2019,23,1,30,21,1762,10,5,49.2,3.32,0.15,0,689,82,33,23,,70,52,6,15,10,42,435,30.3,1147,50,1113,913,82,44,25,110,18.8
Todd Cantwell,5878932.347,6300000,2019,20,1,24,18,1595,1,2,42,16,38.1,0.14,884,79.9,25,23,,73,58,6,5,5,49,575,26.1,1511,60.6,1401,1111,79.3,59,33,180,27.6
Nadiem Amiri,13199960.36,14400000,2020,22,5,30,22,1857,1,2,41.9,2.08,0.02,0,906,78.9,113,23,,89,57,6,9,8,18,286,34.3,1374,59.3,1130,933,82.6,29,27,198,25
Francesco Caputo,4199237.39,4500000,2019,30,18,38,38,3420,16,3,40,2.37,0.14,3,712,77.3,20,23,,98,76,6,16,10,15,503,23.5,1282,34.1,1739,1002,57.6,84,27,143,34.5
Joaquín,1319996.036,1440000,2020,38,15,34,25,2060,8,3,32,11,34.4,2,935,80.4,98,23,35,108,86,6,10,9,17,221,26.7,1379,70.7,1239,1030,83.1,26,11,121,42.1
Ayoze Pérez,8549647.327,9000000,2018,24,10,36,28,2492,8,5,60,21,35,0.13,498,69.1,21,24,,75,55,6,9,5,30,498,24.1,1159,53.4,1155,763,66.1,85,36,185,27.7
Pedro,16796949.56,18000000,2019,31,3,31,21,1778,8,2,58,24,41.4,0.14,950,83.7,61,24,,70,61,6,8,6,23,331,26,1350,69.1,1315,1122,85.3,27,17,129,23.5
Daniel Caligiuri,3299990.091,3600000,2020,31,12,28,26,2293,2,2,25.6,1.69,0.02,1,637,63.9,122,24,,86,38,6,8,3,59,689,32.2,1422,50,1048,796,76,58,25,250,51.7
Nicolas de Préville,4537486.375,4950000,2020,28,12,24,23,1995,6,4,44,19,43.2,1,693,72,131,25,29,88,44,6,11,5,37,433,25.6,1335,45.9,1218,954,78.3,67,47,132,48.8
Roberto Pereyra,8549647.327,9000000,2018,26,14,32,18,1624,5,2,34,13,38.2,0.15,602,81.7,48,25,,56,38,6,9,5,9,249,25.7,978,47.4,836,681,81.5,41,18,160,22.2
Sébastien Haller,33593899.12,36000000,2019,24,7,29,23,2182,15,9,47,22,46.8,0.26,512,64.3,7,26,,66,50,6,13,9,25,516,24.4,1128,60.4,1431,844,59,79,42,120,54.7
Nathan Redmond,15389365.19,16200000,2018,23,17,31,22,1945,1,3,45,15,33.3,0.02,616,72,71,26,,74,55,6,6,6,27,328,29,1104,59,938,778,82.9,36,19,166,35.3
