idx,min,gls,ast,sh,shgls,cmpp,sca,press,pressp,touches,targ
200,10,0,0,0,0,83.3,0,0,25.2,10,7
201,66,2,1,5,0.4,80.2,2.57,11.6,25.2,35.8,39.6
202,70,2,0,4,0.5,88.5,3,11,36.4,40,40
203,90,1,0,7,0.142857143,80.2,2.57,11.6,25.2,35.8,39.6
204,90,2,0,5,0.4,75,3,7,42.9,43,43
205,90,0,0,2,0,80.2,2.57,11.6,25.2,35.8,39.6
206,74,0,0,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
207,90,0,1,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
208,74,0,0,3,0,82.8,3,13,7.7,38,39
209,67,0,0,2,0,83.3,1,8,25,33,50
210,26,0,0,1,0,85.7,0,7,0,18,21
211,90,0,1,3,0,76.9,4,9,33.3,43,61
212,85,0,0,2,0,80.2,2.57,11.6,25.2,35.8,39.6
213,74,0,0,0,0,65.4,3,29,24.1,39,48
214,23,0,0,1,0,88.9,2,1,0,14,9
215,77,0,1,0,0,73.5,2,9,22.2,43,51
216,6,0,0,0,0,100,0,3,0,4,8
217,77,1,0,2.56,0.390625,80.2,2.57,11.6,25.2,35.8,39.6
218,90,0,0,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
219,31,0,0,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
220,90,0,0,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
221,90,0,0,0,0,68,5,16,18.8,41,39
222,90,1,0,8,0.125,91.4,10,21,14.3,53,50
223,90,1,0,6,0.166666667,78.9,3,30,10,35,43
224,11,0,0,0,0,83.3,0,7,14.3,9,7
225,82,0,1,2.5,0,83.2,2.65,17.54,25,35.67,40.07
226,90,0,0,2.5,0,83.2,2.65,17.54,25,35.67,40.07
227,18,0,0,0,0,100,2,1,0,10,11
228,63,0,0,1,0,77.3,2,22,18.2,34,33
229,67,0,0,3,0,84.6,1,14,28.6,41,35
230,57,0,0,2,0,83.2,2.65,17.54,25,35.67,40.07
231,89,0,0,2,0,78.6,2,17,35.3,49,38
232,65,0,1,0,0,76.9,2,31,16.1,21,20
233,71,0,0,2,0,78.1,3,11,36.4,40,43
234,90,0,0,2.5,0,83.2,2.65,17.54,25,35.67,40.07
235,90,0,1,2.5,0,83.2,2.65,17.54,25,35.67,40.07
236,80,0,0,5,0,81.6,4,15,46.7,52,51
237,90,2,0,3,0.666666667,83.2,2.65,17.54,25,35.67,40.07
238,52,0,1,0,0,80,4,11,54.5,38,36
239,74,0,0,2,0,83.3,2,11,27.3,55,54
240,20,0,0,1,0,100,1,6,33.3,13,13
241,77,1,0,6,0.166666667,80,7,26,7.7,35,48
242,29,0,0,0,0,87.5,0,14,7.1,15,18
243,78,0,0,3,0,84.2,3,23,21.7,34,33
244,90,1,0,4,0.25,80.6,2,24,8.3,44,45
245,73,1,1,4,0.25,74.3,3,26,23.1,45,49
246,70,0,0,3,0,75,3,17,17.6,41,49
247,16,0,0,1,0,50,0,2,0,7,9
