index,min,gls,agls,assist,sh,ash,shgls,ashgls,cmpp,sca,press,pressp,touches,targ,,
159,90,0,56,0,2.56,316.76,0,0.176789999,80.2,2.57,11.6,25.2,35.8,39.6,,
160,90,0,56,0,2.56,319.32,0,0.175372667,80.2,2.57,11.6,25.2,35.8,39.6,,
161,5,0,56,0,0,319.32,0,0.175372667,100,1,3,0,5,9,,
162,83,1,57,0,3,322.32,0.333333333,0.176842889,80.2,2.57,11.6,25.2,35.8,39.6,,
163,74,0,57,0,6,328.32,0,0.173611111,90.5,8,5,40,58,53,,
164,90,0,57,0,7,335.32,0,0.169986878,80.2,2.57,11.6,25.2,35.8,39.6,,
165,90,0,57,0,5,340.32,0,0.167489422,80.2,2.57,11.6,25.2,35.8,39.6,,
166,3,0,57,0,0,340.32,0,0.167489422,100,1,4,0,1,1,,
167,78,0,57,0,2.56,342.88,0,0.166238917,80.2,2.57,11.6,25.2,35.8,39.6,,
168,79,1,58,0,2.56,345.44,0.390625,0.167901806,80.2,2.57,11.6,25.2,35.8,39.6,,
169,75,0,58,0,1,346.44,0,0.167417157,92.3,2,17,11.8,40,40,,
170,1,0,58,0,1,347.44,0,0.166935298,80.2,2.57,11.6,25.2,35.8,39.6,,
171,69,1,59,0,3,350.44,0.333333333,0.168359776,73.3,0,23,17.4,21,28,,
172,82,0,59,2,1,351.44,0,0.167880719,80.2,2.57,11.6,25.2,35.8,39.6,,
173,62,0,59,0,1,352.44,0,0.167404381,84.2,3,7,28.6,27,42,,
174,90,1,60,0,2,354.44,0.5,0.16928112,74.1,0,18,33.3,42,47,,
175,90,2,62,0,2.56,357,0.78125,0.173669468,80.2,2.57,11.6,25.2,35.8,39.6,,
176,90,0,62,0,2.56,359.56,0,0.172432974,80.2,2.57,11.6,25.2,35.8,39.6,,
177,15,0,62,0,2,361.56,0,0.171479146,66.7,0,3,33.3,9,12,,
178,90,1,63,0,4,365.56,0.25,0.17233833,80.2,2.57,11.6,25.2,35.8,39.6,,
179,90,0,63,0,4,369.56,0,0.170472995,79,4,13,38.5,77,84,,
180,33,0,63,0,0,369.56,0,0.170472995,81.8,2,7,14.3,23,28,,
181,77,1,64,0,1,370.56,1,0.172711572,68.8,0,15,26.7,24,38,,
182,65,1,65,0,5,375.56,0.2,0.173074875,80.2,2.57,11.6,25.2,35.8,39.6,,
183,86,1,66,1,4,379.56,0.25,0.173885552,76.3,7,14,35.7,51,56,,
184,90,1,67,0,4,383.56,0.25,0.17467932,87.8,2,22,45.5,53,60,,
185,77,0,67,0,1,384.56,0,0.174225088,82.4,1,13,15.4,25,21,,
186,78,0,67,0,3,387.56,0,0.172876458,75,2,13,15.4,43,45,,
187,76,1,68,2,1,388.56,1,0.175005147,74.2,4,17,35.3,41,39,,
188,90,0,68,0,2,390.56,0,0.174108972,83.3,2,19,21.1,63,60,,
189,90,1,69,0,3,393.56,0.333333333,0.175322695,80.6,4,14,28.6,77,84,,
190,32,0,69,0,4,397.56,0,0.173558708,80.2,2.57,11.6,25.2,35.8,39.6,,
191,90,1,70,1,7,404.56,0.142857143,0.173027487,81.8,6,16,25,46,44,,
192,70,0,70,0,0,404.56,0,0.173027487,91.7,0,12,33.3,30,38,,
193,45,0,70,1,1,405.56,0,0.172600848,80.2,2.57,11.6,25.2,35.8,39.6,,
194,80,0,70,0,3,408.56,0,0.171333464,80,6,10,40,49,52,,
195,90,0,70,0,2,410.56,0,0.170498831,69,1,8,37.5,35,58,,
196,60,0,70,1,6,416.56,0,0.168043019,80.2,2.57,11.6,25.2,35.8,39.6,,
197,70,0,70,0,2,418.56,0,0.167240061,66.7,3,4,50,52,56,,
